"id","status","job_id","title"
"1886","Done","MTAwMDEtMTAwMTM1OTE3Ny1TIDE","IT Architect CI/CD (m/w/d) (Software-Architect)"
"1887","Done","MTAwMDEtMTAwMTM1OTE2NS1TIDE","IT Architect – Systemmigration (m/w/d) (Software-Architect)"
"1888","Done","MTI4MTEtMTczMjk3OS1TIDE","Teamleiter IT-Infrastruktur (w/m/d),Erfurt,Osnabrück,Potsdam,Dresden,Kassel,Regensburg,Berlin (Cloud-Architect)"
"1889","Done","MTI4MTEtMTczMjk5NS1TIDE","Cloud Engineer Schwerpunkt Security (m/w/d), Hauptverwaltung (Cloud-Architect)"
"1890","Done","MTIzMzYtYTI1ZjUzOWowNDE2OTM3LVMgMQ","IT Architekt Sybadstem-Management-Infrastruktur (m/w/d) (Software-Architect)"
"1891","Done","MTAwMDEtMTAwMTMzMjc0NS1TIDE","Software Architect (w/m/d) (Software-Architect)"
"1892","Done","MTM1MDktMDAwMDIxMGViNTEwMDEtUyAx","Senior System Engineer Unified Communication (m/w/d) (Software-Architect)"
"1893","Done","NTM4Nzg0NSA5","Alternance charge de developpement commercial - Villeurbanne (H/F)"
"1894","Done","NTM2MTkyNiA5","Ingénieur développement logiciel embarqué (H/F)"
"1895","Done","NTM0MDk2MSA5","Business Developer IoT Services (SaaS.) H/F"
"1896","Done","NDA0NzQxMCA5","Concepteur logiciel (H/F)"
"1897","Done","NTM0MjA0NSA5","Ingénieur Bio-informatique Opérations (H/F)"
"1898","Done","MTkwTExSRCA5","Ingénieur Développement Fullstack Angular/Java (H/F)"
"1899","Done","NTM3MzQ1OSA5","Product Owner (H/F)"
"1900","Done","ODQwMTg4NyA5","Architecte fonctionnel / fonctionnelle de système d'information (H/F)"
"1901","Done","MTkwTlhLUiA5","Ingénieur Data et Java / Ingénieure Data et Java (H/F)"
"1902","Done","NTI5MjE4NSA5","Ingénieur.e Informatique Industrielle F/H - Informatique industrielle (H/F)"
"1903","Done","NTM0MDU2NSA5","Ingénieur développement logiciel embarqué expérimenté  H/F"
"1904","Done","NTM0MTg4NiA5","RESPONSABLE ETUDES ET DÉVÉLOPPEMENT IT  H/F"
"1905","Done","NTM0MTc4NSA5","INGENIEUR INFORMATIQUE et INTELLIGENCE ARTIFICIELLE (H/F)"
"1906","Done","NTM0MTU2NiA5","INGÉNIEUR ÉDITIQUE ET GESTION DE PROJET H/F"
"1907","Done","NTMzOTQwOCA5","INGÉNIEUR R&D LINUX EMBARQUÉ - H/F"
"1908","Done","NTI3OTE3NSA5","Consultant Finops - Cloudops Azure H/F"
"1909","Done","MTIzNjItQ1ItMDU1NDYyXzU0NjIzMkxTLVMgMQ","Embedded Softwareentwickler (m/w/d) (Software-Architect)"
"1910","Done","MTIzNjItQ1ItMDYxNzE1XzU0NjEzMkxTLVMgMQ","Softwarearchitekt (w/m/d) (Software-Architect)"
"1911","Done","MTE5NzgtU0EwMTEwNTc2X0pCNDczMjkyMi1TIDE","Software Architekt – Digitale Systeme & IoT (m/w/d) (Software-Architect)"
"1912","Done","MTY5NDctNzk5Njg4MTk3LVMgMQ","Solution Architect (d/f/m) for Combat Cloud (Cloud-Architect)"
"1913","Done","MTM4ODQtMzAwNDgwLVMgMQ","Solution Architect PDM/PLM  (m/w/d) (Software-Architect)"
"1914","Done","MTM4ODQtMzAwNDc5LVMgMQ","Solution Architect PDM/PLM mit Teamcenter Erfahrung (m/w/d) (Software-Architect)"
"1915","Done","MTIzMzYtYTI1Zjk2NGowNDE2ODMwLVMgMQ","Senior Software Architekt - Java / Spring Boot (w/m/d) (Software-Architect)"
"1916","Done","MTIzMzYtYTI1Zjk2NGowNDE2ODI5LVMgMQ","Lead Software Architekt - Java / Spring Boot (w/m/d) (Software-Architect)"
"1917","Done","MTIzMzYtYTI1Zjk4NWowNDA5NDkzLVMgMQ","System Engineer Cloud Workday Personalsysteme (m/w/d) (Cloud-Architect)"
"1918","Done","MTIzMzYtYTI1Zjg1NGowMzkzNzc4LVMgMQ","Solution Architect (m/w/d) für moderne Zusammenarbeit (Software-Architect)"
"1919","Done","MTIzMzYtYTI1ZjExMjJqMDQxNTM5OS1TIDE","IT-Cloud Architekt Datacenter (a*) (Cloud-Architect)"
"1920","Done","MTIzMzYtYTI1Zjk5M2owNDE1MzA4LVMgMQ","Architect Analytics Services (d/m/w) (Software-Architect)"
"1921","Done","MTIzMzYtYTI1ZjUzOWowNDEzNTEzLVMgMQ","Senior IT Architect – Asset Management & Automation (m/w/d) (Software-Architect)"
"1922","Done","MTAwMDEtMTAwMTE3NDgxMS1TIDE","Solution Architect C# (all gender) (Software-Architect)"
"1923","Done","MTczMTEtMjM1Nzk4LVMgMQ","Solution Architect Microsoft Dynamics 365 (w/m/d) (Software-Architect)"
"1924","Done","NTI4MTM0OCA5","MONTEUR (SE) RESEAUX ELECTRIQUES (H/F)"
"1925","Done","NTI4MTQ0MyA5","MONTEUR (SE) RESEAUX ELECTRIQUES (H/F)"
"1926","Done","NTI4MTQ1MyA5","MONTEUR (SE) RESEAUX ELECTRIQUES (H/F)"
"1927","Done","NTI3OTQzMCA5","Technicien supérieur systèmes et réseaux Alternance/Apprentissage (H/F)"
"1928","Done","NTI3Njk5NCA5","Technicien.ne Supérieur Systèmes et Réseaux  en contrat d'apprentissage #ARI2519 (H/F)"
"1929","Done","NTI3NjgwNSA5","Technicien.ne Supérieur Systèmes et Réseaux en contrat d'apprentissage  #ARI4058 (H/F)"
"1930","Done","NTI3NzY4MSA5","Technicien.ne Supérieur Systèmes et Réseaux  en contrat d'apprentissage #ARI2519 (H/F)"
"1931","Done","NTI3NzI2MyA5","Chef d'equipe réseaux électriques ENEDIS (H/F)"
"1932","Done","NTE0MTQwNiA5","Architecte junior autocad & revit (h/f/d)"
"1933","Done","NTI3NzcxNyA5","Technicien.ne Supérieur Systèmes et Réseaux  en contrat d'apprentissage #ARI2519 (H/F)"
"1934","Done","NTI3NjUzOCA5","Technicien.ne Supérieur Systèmes et Réseaux  en contrat d'apprentissage #ARI2519 (H/F)"
"1935","Done","NTI4MTUwMCA5","Administrateur Système Linux (H/F)"
"1936","Done","NTI3OTcyMCA5","Ingénieur en Développement Technique de Projets Agrivoltaïques (H/F)"
"1937","Done","NTI5NDE3MCA5","Business Analyst (H/F)"
"1938","Done","NTI3NjM4OCA5","Ingénieur d'études Réseaux de Chaleur (H/F)"
